Kingdom	Phylum	Class	Order	Family	Genus
Fungi	Ascomycota	Dothideomycetes	Hysteriales	Hysteriaceae	Hysterobrevium
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Exserohilum
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	NA
Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Retiarius
Fungi	Ascomycota	Lecanoromycetes	Lecanoromycetes_ord_Incertae_sedis	Lecanoromycetes_fam_Incertae_sedis	Phacidiella
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Auriporia
Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus
Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus
Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Hypotrachyna
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Nodulosphaeria
Fungi	Ascomycota	Dothideomycetes	Minutisphaerales	Minutisphaeraceae	Minutisphaera
Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	Sarcogyne
Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Basidioascus
Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Gloniaceae	Cenococcum
Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia
Fungi	Basidiomycota	Atractiellomycetes	Atractiellales	Hoehnelomycetaceae	NA
Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Occultifur
Fungi	Ascomycota	Lecanoromycetes	NA	NA	NA
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Hyphodermataceae	Hyphoderma
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	NA
Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Gamsia
Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fomitiporella
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Genolevuria
Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Rhexocercosporidium
Fungi	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Rhizomucor
Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	NA
Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	NA
Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Neopestalotiopsis
Fungi	Neocallimastigomycota	NA	NA	NA	NA
Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Xanthoria
Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pseudaleuria
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Thanatephorus
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paracamarosporium
Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Hormodochis
Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Ruineniaceae	Ruinenia
Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Tyromyces
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita
Fungi	Ascomycota	Arthoniomycetes	Arthoniales	Arthoniaceae	Arthonia
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Stagonospora
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Acidomyces
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Montagnula
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Deconica
Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	NA
Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiales_fam_Incertae_sedis	Sakaguchia
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Ramariopsis
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Laetiporus
Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Pithoascus
Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Archaeospora
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Neodendryphiella
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Nigrograna
Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Flavopunctelia
Fungi	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Cunninghamella
Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Corticium
Fungi	Ascomycota	Sordariomycetes	Xylariales	Bartaliniaceae	NA
Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Arcopilus
Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Adisciso
Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Helgardia
Fungi	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Arcuadendron
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Leptoxyphium
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Myrothecium
Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Caloboletus
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Paramyrothecium
Fungi	Ascomycota	Arthoniomycetes	Arthoniales	NA	NA
Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Clathrosphaerina
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Steccherinum
Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Punctelia
Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Mycoleptodiscus
Fungi	Ascomycota	Eurotiomycetes	Mycocaliciales	Mycocaliciaceae	Mycocalicium
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae	Byssomerulius
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	NA
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Melanomma
Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum
Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	NA
Fungi	Ascomycota	Orbiliomycetes	NA	NA	NA
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma
Fungi	Basidiobolomycota	NA	NA	NA	NA
Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	NA
Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Coleophoma
Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Phyllactinia
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Genea
Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Scleroconidioma
Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Parmotrema
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	NA
Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Lecanora
Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Eremomycetaceae	Arthrographis
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Acrodontium
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	NA
Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Roseodiscus
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metapochonia
Fungi	Ascomycota	Xylonomycetes	GS34	NA	NA
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Nidulariaceae	Crucibulum
Fungi	Basidiomycota	Tritirachiomycetes	Tritirachiales	Tritirachiaceae	Paratritirachium
Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Eremomycetaceae	NA
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycocentrospora
Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Ramalina
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Sirobasidiaceae	Sirobasidium
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Lepista
Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Wardomycopsis
Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pleuroascus
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Penicillifer
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Melanophyllum
Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria
Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Auxarthron
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Hamigera
Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Hawksworthiomyces
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Bulleribasidium
Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	NA
Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Dothidea
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Tilachlidiaceae	Tilachlidium
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Neophaeothecoidea
Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Coleroa
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	NA
Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	NA
Fungi	Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	Heterodermia
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Teichosporaceae	NA
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Geosmithia
Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	Exobasidium
Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Perusta
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	NA
Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Leveillula
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Guttulispora
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Phragmocephala
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Hydnocystis
Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Parascedosporium
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormia
Fungi	Ascomycota	Dothideomycetes	Mytilinidales	NA	NA
Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Flavoparmelia
Fungi	Ascomycota	Sordariomycetes	Xylariales	Beltraniaceae	Beltrania
Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Tubulicrinaceae	Tubulicrinis
Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Schizopora
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Dictyosporium
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cosmospora
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Leratiomyces
Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Ciliolarina
Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	NA	NA
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Melanoleuca
Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	NA
Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideales_fam_Incertae_sedis	Selenophoma
Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Xenocylindrosporium
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	NA
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	NA
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Roussoella
Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Davidhawksworthia
Fungi	Ascomycota	Dothideomycetes	Tubeufiales	NA	NA
Fungi	Basidiomycota	Agaricomycetes	Boletales	Paxillaceae	Paxillus
Fungi	Basidiomycota	Microbotryomycetes	Microbotryales	Microbotryaceae	Microbotryum
Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Heterocephalacria
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Baeospora
Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Brachyphoris
Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	NA	NA
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Nectriella
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Protofenestella
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Pholiota
Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	NA
Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella
Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Xerocomellus
Fungi	Chytridiomycota	GS13	NA	NA	NA
Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	NA
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Junghuhnia
Fungi	Basidiomycota	Agaricomycetes	Thelephorales	NA	NA
Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps
Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermaceae	Acrospermum
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Juncaceicola
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Cephaloascaceae	Cephaloascus
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Resupinatus
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis
Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Arthropsis
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Dissoconiaceae	Ramichloridium
Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Protomycetaceae	Protomyces
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	NA
Fungi	Ascomycota	Lecanoromycetes	Pertusariales	Pertusariaceae	NA
Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	NA
Fungi	Basidiomycota	Agaricomycetes	Phallales	Gastrosporiaceae	Gastrosporium
Fungi	Ascomycota	Leotiomycetes	Thelebolales	NA	NA
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Parathyridaria
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	NA
Fungi	Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	Physconia
Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Kalmanozyma
Fungi	Basidiomycota	Agaricomycetes	Russulales	Lachnocladiaceae	Scytinostroma
Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Podosphaera
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Lecanosticta
Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Peroneutypa
Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia
Fungi	Ascomycota	Sordariomycetes	Diaporthales	Schizoparmaceae	Coniella
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Bjerkandera
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	NA
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Dissoconiaceae	Dissoconium
Fungi	Basidiomycota	Agaricomycetes	Boletales	Astraeaceae	Astraeus
Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Cyathicula
Fungi	Olpidiomycota	GS18	NA	NA	NA
Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Parmelinopsis
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Skeletocutis
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Paramycosphaerella
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Xenasmataceae	Xenasma
Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	NA
Fungi	Basidiomycota	Agaricomycetes	Boletales	Melanogastraceae	Melanogaster
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Allophaeosphaeria
Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	NA
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Periglandula
Fungi	Ascomycota	Dothideomycetes	Mytilinidiales	NA	NA
Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Clavidisculum
Fungi	Basidiomycota	Agaricomycetes	Russulales	Hericiaceae	Hericium
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Hirsutella
Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Kneiffiella
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus
Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Chrysozymaceae	Slooffia
Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Dactylella
Fungi	Ascomycota	Lecanoromycetes	Candelariales	Candelariaceae	Candelariella
Fungi	Basidiomycota	Agaricomycetes	Gomphales	Gomphaceae	Phaeoclavulina
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Camarosporidiellaceae	Camarosporidiella
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	NA
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Paurocotylis
Fungi	Ascomycota	Dothideomycetes	Myriangiales	Elsinoaceae	Elsinoe
Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Tranzscheliella
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Terana
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae	NA
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Thermoascus
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Postia
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Arrhenia
Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Nemania
Fungi	Ascomycota	Dothideomycetes	Patellariales	Patellariaceae	Patellaria
Fungi	Ascomycota	Eurotiomycetes	Onygenales	Gymnoascaceae	Gymnascella
Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiales_fam_Incertae_sedis	Operculomyces
Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Auxarthronopsis
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sparticola
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	NA
Fungi	Ascomycota	Eurotiomycetes	Coryneliales	NA	NA
Fungi	Ascomycota	Dothideomycetes	Hysteriales	Hysteriaceae	Hysterium
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Antrodiella
Fungi	Ascomycota	Lecanoromycetes	Ostropales	Stictidaceae	Neofitzroyomyces
Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Chrysozymaceae	Hamamotoa
